Keyword,Currency,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2018,Searches: Jun 2018,Searches: Jul 2018,Searches: Aug 2018,Searches: Sep 2018,Searches: Oct 2018,Searches: Nov 2018,Searches: Dec 2018,Searches: Jan 2019,Searches: Feb 2019,Searches: Mar 2019,Searches: Apr 2019
parkinson's disease,USD,301000,Low,26,0.07,3,,,,,,301000,301000,368000,301000,246000,301000,301000,301000,301000,301000,301000,301000
parkinson,USD,110000,Low,21,0.08,3.9,,,,,,90500,90500,110000,90500,74000,90500,110000,110000,110000,110000,110000,110000
wednesday addams,USD,110000,Low,1,,,,,,,,40500,40500,40500,49500,110000,550000,90500,49500,49500,49500,49500,49500
parkinsons symptoms,USD,60500,Medium,39,0.1,2.72,,,,,,60500,74000,74000,60500,49500,49500,40500,33100,49500,49500,60500,74000
essential tremor,USD,49500,Low,19,0.14,5.64,,,,,,40500,40500,49500,49500,40500,49500,40500,40500,49500,40500,49500,49500
parkinson's disease symptoms,USD,27100,Medium,36,0.12,3,,,,,,27100,27100,33100,33100,33100,33100,27100,33100,33100,27100,27100,27100
what is parkinson's disease,USD,22200,Medium,35,0.07,2,,,,,,18100,22200,27100,18100,18100,22200,22200,22200,22200,22200,22200,27100
wpw,USD,22200,Low,3,0.05,5,,,,,,18100,27100,14800,14800,22200,27100,14800,18100,33100,22200,14800,18100
parkinson's disease causes,USD,14800,Low,26,0.1,2,,,,,,14800,12100,14800,9900,12100,12100,14800,18100,14800,14800,14800,18100
parkinsonism,USD,9900,Low,10,0.06,2.07,,,,,,8100,8100,8100,8100,9900,9900,9900,9900,9900,9900,9900,12100
early signs of parkinson's,USD,9900,Low,29,0.06,2.12,,,,,,9900,8100,9900,12100,9900,8100,9900,12100,12100,9900,12100,12100
parkinson's disease stages,USD,9900,Medium,37,0.1,2.02,,,,,,8100,12100,12100,6600,8100,12100,14800,8100,8100,8100,9900,6600
is parkinson's hereditary,USD,9900,Low,14,0.06,2,,,,,,9900,9900,12100,9900,8100,9900,9900,12100,12100,9900,12100,12100
signs of parkinson's,USD,8100,Medium,40,0.08,2,,,,,,6600,6600,8100,8100,6600,6600,8100,8100,9900,8100,9900,8100
michael j fox foundation,USD,8100,Low,26,6.33,15.9,,,,,,6600,6600,8100,8100,6600,8100,8100,8100,8100,6600,8100,8100
parkinson's law,USD,8100,Low,13,0.07,18.17,,,,,,6600,5400,5400,6600,6600,8100,9900,8100,9900,8100,8100,8100
parkinson's disease treatment,USD,6600,Medium,52,1.82,6.28,,,,,,8100,6600,8100,6600,6600,8100,8100,6600,6600,6600,8100,8100
how is parkinson's diagnosed,USD,6600,Low,28,0.12,3.9,,,,,,5400,6600,6600,6600,5400,6600,5400,6600,6600,8100,8100,6600
parkinson's medication,USD,6600,Medium,41,1.9,5,,,,,,6600,5400,5400,6600,6600,6600,6600,6600,8100,6600,6600,8100
